player_id,cum_day,prev_day,curr_day,prev_DWB,curr_DWB,change_DWB,z2prev_DWB,z2sleep,z2load,match
2,66,66,67,,75,,,-0.243176637,-0.343587079,1
2,67,67,68,75,,,0.596839975,,,0
2,68,68,69,,,,,,,0
2,69,69,70,,,,,,,0
2,70,70,71,,,,,,,0
2,71,71,72,,35,,,-0.776596357,-0.439972893,0
2,72,72,73,35,25,-10,-0.721084223,-0.776596357,-0.092983962,1
2,73,73,74,25,35,10,-1.050565272,-0.776596357,-0.092983962,1
2,74,74,75,35,55,20,-0.721084223,0.290243083,-0.439972893,0
2,75,75,76,55,,,-0.062122124,,,0
2,76,76,77,,65,,,0.823662803,0.427499434,1
2,77,77,78,65,45,-20,0.267358926,-0.243176637,0.022679015,1
2,78,78,79,45,60,15,-0.391603173,-0.243176637,-0.092983962,1
2,79,79,80,60,,,0.102618401,,,0
2,80,80,81,,75,,,0.290243083,-0.439972893,0
2,81,81,82,75,75,0,0.596839975,0.290243083,0.716656877,0
2,82,82,83,75,75,0,0.596839975,0.290243083,-0.266478427,0
2,83,83,84,75,75,0,0.596839975,1.357082523,0.254004969,1
2,84,84,85,75,75,0,0.596839975,-0.243176637,0.427499434,1
2,85,85,86,75,75,0,0.596839975,0.290243083,0.494969504,1
2,86,86,87,75,60,-15,0.596839975,0.290243083,0.051594759,0
2,87,87,88,60,65,5,0.102618401,-0.243176637,-0.343587079,0
2,88,88,89,65,,,0.267358926,,,0
2,89,89,90,,70,,,0.290243083,-0.266478427,0
2,90,90,91,70,75,5,0.43209945,0.290243083,-0.208646939,1
3,1,1,2,60,45,-15,0.102618401,-0.094997384,-0.127793035,0
3,2,2,3,45,60,15,-0.391603173,0.329324263,0.560674611,0
3,3,3,4,60,65,5,0.102618401,-0.51931903,0.047055891,1
3,4,4,5,65,10,-55,0.267358926,0.329324263,0.134480354,0
3,5,5,6,10,65,55,-1.544786846,0.329324263,-0.193361382,0
3,6,6,7,65,55,-10,0.267358926,0.329324263,-0.390066424,0
3,7,7,8,55,45,-10,-0.062122124,-0.51931903,-0.390066424,0
3,8,8,9,45,55,10,-0.391603173,-0.094997384,0.030663804,0
3,9,9,10,55,60,5,-0.062122124,-0.094997384,-0.390066424,0
3,10,10,11,60,70,10,0.102618401,0.329324263,0.484178206,1
3,11,11,12,70,75,5,0.43209945,0.75364591,0.178192586,0
3,12,12,13,75,30,-45,0.596839975,-0.51931903,-0.390066424,0
3,13,13,14,30,25,-5,-0.885824748,-0.51931903,-0.390066424,0
3,14,14,15,25,25,0,-1.050565272,-0.943640677,-0.390066424,0
